City,Latitude,Temperature,Humidity,WindSpeed,Cloudiness
belaya gora,68.54,14.15,35,3.3,100
ushuaia,-54.81,1,64,3.1,20
atyrau,47.1,35,16,7,0
hilo,19.71,22.61,73,2.6,90
kavieng,-2.57,28.25,75,6.05,2
san matias,-16.36,37.75,21,4.28,0
cherskiy,68.75,13.05,68,3.95,100
mataura,-46.19,0.05,90,2.47,100
yellowknife,62.45,10,93,5.7,90
nagato,34.35,26.18,88,1.5,75
oranjemund,-28.55,14.45,92,6.68,0
new norfolk,-42.78,8.13,66,1.5,75
hermanus,-34.42,17.78,81,5.36,15
wasilla,61.58,11.85,37,11.3,1
palmer,-34.85,7.51,66,8.2,20
punta arenas,-53.16,-4,92,2.1,20
cockburn town,21.46,28.35,76,7.05,72
vaini,15.34,25.02,83,3.1,75
saint-augustin,45.63,22.47,83,1.5,75
henties bay,-22.12,17.35,68,6.33,0
kamenka,48.03,26.67,37,1.34,0
misratah,32.38,27.05,67,6.99,0
saskylakh,71.97,11.55,55,3.25,0
busselton,-33.64,8.33,65,1.72,100
tuktoyaktuk,69.44,1,96,9.3,90
rikitea,-23.12,20.85,72,6.65,100
zabol,31.03,39,10,11.8,0
leningradskiy,69.38,8.05,72,1.63,100
chirongui,-12.93,27,74,7.2,40
butaritari,3.07,29.25,67,3.25,4
puerto ayora,-0.74,19.45,77,1.5,90
dikson,73.51,4.75,96,7.41,100
mubi,10.27,27.15,75,1.67,98
port elizabeth,39.31,27.32,83,2.1,40
verkhnevilyuysk,63.45,11.25,95,3.12,100
upernavik,72.79,4.25,60,1.85,0
provideniya,64.42,9.95,54,0.38,100
qingdao,36.09,23,73,2,0
konch,26,28.65,77,4.73,91
ponta do sol,-20.63,27.25,33,1.6,0
lebu,8.96,20,60,2.6,20
severo-kurilsk,50.68,10.05,86,1.12,72
pisco,-13.71,18.42,30,3.1,90
pangnirtung,66.15,6.85,58,1.19,100
te anau,-45.41,2.25,79,2.12,68
lompoc,34.64,14.97,93,0.3,90
pandan,11.72,28.45,80,6.28,0
cape town,-33.93,18.33,72,0.89,42
nikolskoye,59.7,21.89,43,5,40
albany,42.65,20.85,83,1.92,20
carnarvon,-30.97,25.05,14,9.65,33
talnakh,69.49,14,100,3,75
hithadhoo,-0.6,29.15,69,3.96,97
aswan,24.09,42,15,3.6,0
jalu,29.03,35.85,13,6.07,0
hualmay,-11.1,14.85,89,4.47,95
warri,5.52,29.05,64,6.6,47
puerto del rosario,28.5,29.84,65,6.2,0
katsuura,33.93,26.5,88,6.2,20
tasiilaq,65.61,10,61,4.1,4
shingu,33.72,20.75,93,1.01,38
beloha,-25.17,18.45,70,6.43,49
georgetown,6.8,24.46,94,2.1,90
westport,41.14,24.58,83,2.45,90
ostrovnoy,68.05,18.45,61,8.41,81
antalaha,-14.9,17.45,86,1.36,14
vila velha,-3.71,29,54,6.7,0
sao joao da barra,-21.64,25,50,4.1,0
susanville,40.42,10.15,61,0.75,1
kaeo,-35.1,9.16,100,6.47,66
chuy,-33.69,8.85,74,7.79,89
mar del plata,-46.43,1.95,60,4.13,0
bolu,40.73,17.35,74,2.91,60
ilulissat,69.22,8,52,2.1,5
kodiak,39.95,22.51,78,7.2,40
port lincoln,-34.72,10.95,60,11.79,38
fortuna,40.6,13.49,93,3.6,90
buraydah,26.33,41,15,1,0
tarnogskiy gorodok,60.5,15.05,90,2.87,100
arraial do cabo,-22.97,26.49,44,4.1,0
shilka,51.85,17.05,51,1.21,79
thompson,55.74,10,93,1.5,90
cabo san lucas,22.89,25.67,57,2.6,20
avarua,-21.21,22,94,1.5,100
atuona,-9.8,26.25,69,7.67,0
longyearbyen,78.22,6,70,3.1,75
charters towers,-20.07,15.65,73,3.04,0
uyuni,-20.46,9.55,15,3.37,4
broome,52.47,20.57,60,6.2,40
santa rosa,-36.62,9.25,47,6.26,66
hervey bay,-25.3,13.24,87,1.5,7
palauig,15.44,28.65,80,5.4,100
kalmunai,7.42,26.75,79,1.3,100
kapaa,22.08,24.24,74,4.6,75
trelleborg,55.38,18.62,93,3.6,75
lodwar,3.12,33.65,27,3.7,0
lahij,13.06,33.05,43,5.8,91
tura,64.27,13.75,68,1.53,100
castro,-42.48,6,100,2.1,0
cururupu,-1.82,27.95,76,2.17,68
constitucion,23.99,17.1,100,1.5,90
batagay,67.65,15.05,69,2.17,100
faanui,-16.48,25.75,78,5.14,12
santa maria,-16.02,24.53,47,2.6,0
bluff,-23.58,14.55,72,1.95,0
mahebourg,-20.41,21.93,73,3.6,75
port alfred,-33.59,18.89,83,2.24,28
sinnamary,5.38,27.35,74,3.14,2
san fernando,10.28,30.02,79,4.1,40
udachnyy,66.42,14,59,1,0
inuvik,68.36,1,100,4.1,90
bredasdorp,-34.53,19.49,49,12.3,17
kottagudem,17.55,25.65,87,1.06,100
saint-denis,48.94,19.6,77,3.6,90
barrow,-38.31,6.05,58,6.22,89
lenoir,35.91,25.27,73,1.56,1
new ulm,44.31,17.39,93,5.7,90
terrace,54.52,13,87,10.3,90
mogzon,51.74,9.35,95,1.21,32
makariv,50.46,25.48,31,4,49
amuntai,-2.42,24.55,79,2.14,43
joshimath,30.57,11.55,75,2.82,66
kozlovka,55.84,25.51,47,4,20
satkhira,22.72,27,94,4.6,75
huarmey,-10.07,15.05,89,4.46,100
teruel,40.34,31.13,10,3.6,0
batagay-alyta,67.8,9.75,88,0.69,100
bethel,60.79,10.04,87,4.6,1
altay,47.83,8.95,71,1.87,64
goderich,43.74,22.29,93,2.24,4
petropavlovsk-kamchatskiy,53.05,12,100,4,75
jamestown,-33.21,2.65,90,3.31,0
norman wells,65.28,1,100,4.6,90
drovyanaya,51.58,15,82,1,0
lavrentiya,65.58,9.05,58,0.75,100
suffolk,36.73,25.07,94,2.32,90
qaanaaq,77.48,3.45,54,0.49,31
moron,18.56,29.25,66,2.58,89
vao,59.1,22.15,48,3.27,0
yarada,17.65,28,88,1,75
alofi,-19.06,23,100,0.5,11
leshukonskoye,64.9,18.95,61,1.41,0
luwuk,-0.95,15.65,97,1.61,100
mirabad,28.27,22.45,7,6.16,0
shenjiamen,29.96,27.45,80,5.4,72
moshenskoye,58.52,13.45,98,2.79,100
ampanihy,-24.69,18.55,65,4.56,60
saldanha,41.42,27.15,40,6.02,85
tarrega,41.65,31.06,34,1.5,0
hobart,-42.88,8.13,66,1.5,75
istisu,40.95,34,20,4.1,0
zhigalovo,54.81,12.25,71,1.48,100
iwanai,42.97,16.95,90,2.33,0
clyde river,70.47,7,81,1.5,75
pevek,69.7,6.35,90,8.61,100
khatanga,71.98,14.85,72,0.53,86
tashla,53.71,26,39,6,20
borovoy,63.23,17.55,67,2.23,27
east london,-33.02,22,68,3.6,0
makakilo city,21.35,24.34,74,1.5,1
beringovskiy,63.05,6.15,98,2.72,54
salto,-23.2,25.65,38,4.1,0
sarakhs,36.54,36,15,6.2,0
lasa,34.92,29.81,70,4.1,40
coihaique,-45.58,1.89,55,2.1,75
nemuro,43.32,15.75,93,4.77,100
vardo,39.62,26.83,74,0.96,1
aykhal,65.95,14,87,1,0
cidreira,-30.17,16.05,67,6.15,62
vuktyl,63.86,17.25,71,1.62,62
vestmannaeyjar,63.44,12.45,67,7.79,100
bayir,37.27,32.86,19,7.7,20
zeya,53.74,7.15,98,2.12,100
afogados da ingazeira,-7.75,28.75,39,4.82,1
truro,50.26,17.55,82,8.7,40
druzhba,49.36,24.35,53,1.94,50
aklavik,68.22,1,100,4.1,90
manokwari,-0.87,22.55,84,2.84,98
tual,-5.67,25.15,88,8.71,47
pitea,65.32,16.4,87,8.2,90
sao filipe,14.9,25.85,82,3.95,85
atar,20.52,38.85,21,4.45,7
walvis bay,-22.95,24,50,3.6,0
hit,33.64,39.25,14,4.64,0
klaksvik,62.23,12,93,2.1,100
dessau,51.83,27.36,48,7.2,0
hamilton,43.26,21.35,100,3.1,75
yumen,40.29,25.35,22,15.21,48
chokurdakh,70.62,11.05,51,3.65,100
mana,13.03,32.85,45,2.78,34
kodinsk,58.6,11.75,92,1.43,55
kanniyakumari,8.08,26.85,85,8.05,100
sola,-3.17,29.25,25,4.2,100
khvastovichi,53.47,17,82,3,75
touros,-5.2,28,69,6.2,75
nanortalik,60.14,4.55,97,2.99,97
vila,45.18,29.07,48,2.1,75
salalah,17.01,27,88,3.6,90
uporovo,56.31,16.55,73,4.32,100
susangerd,31.56,42,15,3.1,0
nabire,-3.36,21.45,96,1.39,95
rawson,-43.3,4.15,57,3.97,2
brownfield,33.18,25.04,57,4.6,90
bubaque,11.28,25.25,87,8.37,91
goshen,41.58,21.97,94,5.1,90
sembakung,3.82,22.95,97,0.57,24
tandil,-37.33,6.95,63,2.24,65
ponta delgada,37.73,20,88,3.1,40
tiksi,71.64,7.95,97,1.85,96
mackay,53.65,8.01,100,2.6,90
that phanom,16.94,26,100,0.5,75
ochamchira,42.71,24.55,80,2.12,3
marsh harbour,26.54,28.85,69,2.97,2
dunedin,-45.87,5.56,72,2.24,34
alice springs,-23.7,10,31,3.1,0
marquette,46.54,19.46,93,6.2,90
ibiapina,-3.92,29.85,30,4.47,1
saint-philippe,45.36,22.37,83,4.1,90
sovetskiy,56.76,21.05,74,2.08,100
luderitz,-26.65,20,64,5.1,0
kizukuri,40.81,23.36,90,0.89,51
mayo,63.59,2,69,1,75
tuxpan,19.56,22,94,1.02,75
quatre cocos,-20.21,22.03,73,3.6,75
mashhad,36.3,30,19,5.1,0
banda aceh,5.56,29.05,77,5.78,37
kurchum,48.57,18.35,56,4.87,98
san patricio,-26.98,17.95,77,5.12,100
baykit,61.68,14.05,65,1.49,59
bonthe,7.53,26.25,79,5.39,31
bambous virieux,-20.34,21.97,73,3.6,75
graham,33.11,27.74,74,3.1,1
kuna,43.49,13.09,87,1.12,1
kieta,-6.22,26.55,80,2.24,5
iqaluit,63.75,2,100,4.1,90
college,64.86,5.46,93,1.96,90
cody,44.53,10.13,76,3.6,1
yamethin,20.43,24.85,87,7.41,100
garowe,8.41,31.25,34,7.41,90
eureka,40.8,13.5,87,2.1,90
hofn,64.25,13,58,6.7,75
souillac,45.6,20.65,88,4.1,52
kupang,-10.16,24.95,78,8.85,0
saint-michel-des-saints,46.68,21.67,7,2.5,0
guerrero negro,27.97,16.85,92,4.68,2
narsaq,60.91,8,93,1.5,90
surt,31.21,27.15,66,6.52,0
senj,45.35,28.15,54,3.6,0
sumenep,-7.02,21.25,91,2.28,0
coahuayana,18.62,24.05,87,0.43,66
pochutla,15.74,24.33,88,3.6,90
murdochville,48.96,21.85,65,0.82,100
geraldton,49.72,17,93,3.6,90
margate,-43.03,8.14,66,1.5,75
ust-nera,64.57,11.05,66,1.33,100
calvinia,-31.47,21.15,31,5.28,0
namatanai,-3.66,25.95,83,7.53,63
ucluelet,48.94,15.34,100,2.6,75
yulara,-25.24,11,29,3.6,0
meulaboh,4.14,29.15,74,3.55,84
lorengau,-2.02,26.25,86,3.99,56
sitka,37.17,22.78,68,8.94,0
zonguldak,41.25,20,94,2.94,75
yar-sale,66.83,10.65,76,5.4,80
isangel,-19.55,21.35,66,6.96,40
ribeira grande,38.52,23,69,7.2,75
denpasar,-8.65,25,83,5.7,20
kununurra,-15.77,20,49,2.88,2
mgandu,-5.96,27.05,23,3.41,10
mpika,-11.84,24.25,19,3.56,0
codrington,-28.95,13.15,93,2.6,95
killarney,-28.34,12.78,81,1.34,55
nhulunbuy,-12.18,23,94,4.22,0
guozhen,29.3,28.75,62,2.36,0
viedma,-40.81,5.75,55,6.58,100
rehoboth,-23.31,25.45,11,2.32,0
bay roberts,47.58,18.55,77,3.6,75
northam,-31.65,10,76,1.42,2
balkhash,46.84,20.35,51,7.31,36
san joaquin,10.59,25.05,90,2.11,0
sioux lookout,50.1,13.43,93,1.5,90
hastings,-39.64,0.95,93,0.89,67
naujamiestis,55.69,26,39,4.6,0
necochea,-38.55,6.67,61,7.15,76
waipawa,-39.94,0,91,0.89,67
shimoda,34.7,26.47,3,0.4,0
shamary,57.34,18.65,93,2.48,76
kudahuvadhoo,2.67,27.95,76,4.69,85
gamba,28.28,8.65,57,2.96,58
esperance,-33.86,9,93,1.5,75
airai,-8.93,20.65,89,1.82,0
boueni,-12.9,27,74,7.2,40
teya,21.05,26.96,88,5.7,40
lata,30.78,7.15,87,2.04,100
le port,42.87,31.2,24,5.1,20
kalianget,-7.74,16.95,94,2.73,67
amparafaravola,-17.68,17.55,60,5.24,0
torbay,47.66,18.51,72,4.1,75
van buren,47.16,18.21,88,1.87,90
jaca,42.57,32.98,29,1.5,0
chicama,-7.84,16,87,3.6,90
ahipara,-35.17,9.44,100,10.01,0
isiro,2.77,26.05,79,0.97,16
kaitangata,-46.28,1.11,73,0.89,88
las cruces,-33.5,8.34,100,1,75
utete,-7.99,27.55,48,6.1,19
preobrazheniye,42.9,15.65,98,1.92,46
vallenar,-28.58,19.65,26,2.16,0
raudeberg,61.99,16,81,8.2,75
manali,32.25,2.55,99,0.71,100
plouzane,48.38,19.02,59,7.2,75
lubao,-5.39,35.05,18,3.29,11
yushan,31.68,27.42,65,5,0
halifax,44.65,20.37,77,2.1,75
tabou,4.42,25.55,75,3.83,93
muros,42.77,20.49,63,3.6,75
laguna,16.17,25,88,2.1,20
san cristobal,14.68,21.25,73,2,100
atoka,34.39,27.17,74,1.5,1
bougouni,11.42,27.05,83,2.84,98
sao gabriel da cachoeira,-0.13,25,88,1.5,40
iquique,-20.22,15,62,2.6,90
otane,-39.89,0,91,0.89,67
corsicana,32.09,27.48,78,7.2,75
loiza,18.43,29.34,79,5.7,40
turayf,31.68,35,21,5.1,0
kinkala,-4.35,30,51,3.6,20
chara,39.42,30.55,33,6.2,20
huntsville,34.73,25.98,65,2.42,1
adre,13.47,26.45,69,0.81,88
kabo,7.69,26.15,78,2.38,39
alyangula,-13.85,23,88,3.1,0
hornepayne,49.22,24.45,53,4.87,0
katihar,25.54,28.75,81,3.5,17
mayya,61.74,13,87,4,40
cotonou,6.37,29,74,7.7,20
neiafu,-18.65,24,94,2.6,75
los algarrobos,-3.25,27.11,88,2.1,90
batemans bay,-35.71,8.48,60,4.47,36
salinopolis,-0.61,27.35,79,6.57,16
sangar,63.92,12.35,90,3.95,100
onguday,50.75,8.75,94,1.52,100
qasigiannguit,68.82,8,52,2.1,5
mogadouro,41.34,27.15,40,6.02,85
husavik,50.56,16.45,47,6.98,12
bargi,22.99,25.45,89,2.94,100
borovnica,44.38,29.48,45,1.5,0
gadwal,16.23,27.25,75,2.17,100
birin,26.89,29,74,2.6,40
methoni,36.82,27.74,57,5.01,75
healesville,-37.65,6.69,75,8.2,75
manaure,11.78,29,74,5.1,75
roald,62.58,17.4,55,3.1,0
presidencia roque saenz pena,-26.79,19.45,44,5.49,100
san quintin,17.54,24.35,90,1.23,100
omboue,-1.57,23.65,87,6.59,7
bud,62.91,18.57,35,1,0
kasane,-17.8,28,17,6.2,0
serednye vodyane,47.98,26.76,34,3.1,73
chumikan,54.72,7.75,98,3.67,100
kawalu,-7.38,18.55,87,1.65,56
valle de allende,26.94,23.85,48,1.81,100
puerto escondido,15.86,25,94,3.1,75
urengoy,65.96,13.45,73,5.46,100
emerald,-23.53,15.17,51,2.1,0
lokosovo,61.13,14.45,76,5.08,6
iberia,-11.41,33.05,33,2.55,0
pakxan,18.39,23.35,97,0.87,100
reconquista,-29.14,17.55,49,6.96,0
collie,-33.36,8.89,65,0.19,81
carnot,4.94,25.55,79,2.73,99
byron bay,-28.65,14.22,88,3.6,53
araouane,18.9,39.25,22,1.66,0
sabang,13.8,28.33,81,1.34,47
ternate,14.29,28.73,83,5.7,20
samoded,63.61,19.95,62,1.83,0
orta nova,41.33,32.26,27,4.6,5
harare,-17.83,22.25,13,4.5,0
kantunilkin,21.1,28.95,83,4.1,75
saint stephen,45.7,17.39,88,2.6,1
hobyo,5.35,25.65,69,13.69,7
novo cruzeiro,-17.47,25.95,38,1.48,7
uvira,-3.41,17.05,50,2.11,47
marzuq,14.4,30.65,29,2.85,100
ust-kuyga,70,13.55,84,1.33,100
buchanan,5.88,28,83,3.1,75
flinders,-34.58,15.37,51,9.8,73
bulgan,48.81,11.25,99,1.89,100
port keats,-14.25,24.65,46,3.99,0
egvekinot,66.32,5.35,97,3.81,100
madang,35.32,9.45,91,0.87,39
mitsamiouli,-11.38,27,69,9.8,40
kruisfontein,-34,19.35,47,6.98,14
mogadishu,2.04,27,69,8.2,75
moerai,-22.43,23.55,84,3.79,77
comodoro rivadavia,-45.87,3,59,3.6,75
falun,60.61,17.74,77,2.6,33
nago,45.88,27.56,45,2.1,20
skjervoy,70.03,16,72,3.6,0
wanning,48.64,30.11,35,1.5,20
maragogi,-9.01,23.75,89,2.86,72
gorontalo,0.54,22.75,91,1.16,57
hohhot,40.81,19,63,3,0
sai buri,6.7,24.25,94,0.61,2
gamboula,4.12,26.85,64,2.04,65
vale da amoreira,38.65,24.26,61,3.6,75
orotukan,62.26,6.85,71,0.24,6
inirida,3.87,26.85,68,0.91,92
semenivka,52.18,16.15,88,2.66,98
mahibadhoo,3.78,28.05,76,4.83,100
bolivar,37.61,23.13,69,4.6,1
port-cartier,50.03,18.59,82,1.5,90
rock sound,24.9,28.45,80,7,5
kansk,56.21,15.25,69,2.77,84
pecos,31.42,27.08,51,2.6,1
srednekolymsk,67.46,11.55,68,2.86,0
soyaux,45.64,21.24,78,6.7,89
aasiaat,68.71,5.55,67,3.32,2
sukumo,32.94,24.65,86,2.62,85
meadow lake,54.13,5,93,2.6,40
boa vista,2.82,24,88,2.1,90
sydney,-33.85,14.79,67,10.3,0
adrar,27.87,43,9,7.2,0
mehamn,71.03,14.55,74,8.25,86
szprotawa,51.56,28.58,47,5.1,40
hovd,63.83,17.6,59,3.1,0
bathsheba,13.22,30,74,6.7,40
khuzdar,27.8,28.35,13,4.43,0
dudinka,69.41,14,100,3,75
victoria,5.28,28.43,83,3.22,75
pimentel,-3.7,33.75,38,2.8,21
praia da vitoria,38.73,21,77,8.22,90
sibolga,1.74,28.85,75,4.04,100
sur,22.57,26.95,68,3.17,0
caxias,-4.87,30,48,4.1,0
kandava,57.04,23.95,53,3.71,100
kushima,31.5,22.75,96,0.32,63
avera,33.19,26.09,88,3.6,75
krasnoturansk,54.32,18,82,2,0
parabel,58.71,19.85,62,4.07,100
dubbo,-32.25,14,41,8.7,40
ushtobe,45.25,23.75,30,5.43,34
morant bay,17.88,29,70,1.5,40
ocos,14.51,24.04,94,6.56,40
pacific grove,36.62,14.7,82,3.32,90
port macquarie,-31.43,13.13,82,3.1,3
grand gaube,-20.01,22.14,73,3.6,75
giyani,-23.32,23.85,38,2.74,0
sorong,-0.86,23.55,95,2.35,94
lixourion,38.2,29.1,74,3.6,20
poopo,-18.38,3,40,2.1,0
tucupita,9.06,30.15,65,2.82,53
barranca,-10.75,14.85,89,4.47,95
mananjary,-19.16,20.75,31,1.81,0
floro,61.6,15.12,81,8.2,75
mabamba,-3.6,25.25,31,3.85,20
soyo,-6.13,27,61,4.1,20
vestmanna,62.16,12,93,2.1,100
itigi,-5.7,29.25,22,3.43,29
baiyin,36.55,25,53,3,0
harper,30.3,24.16,83,5.7,90
gornopravdinsk,60.06,15.75,72,2.47,32
ust-ilimsk,57.96,11.45,90,0.45,93
tolaga bay,-38.37,0.95,92,0.53,0
portland,43.66,20.27,88,3.1,90
tungor,53.39,10.85,93,3.71,99
steubenville,40.37,24.6,88,2.6,1
poya,-21.35,19.85,69,3.89,0
hirara,24.8,27.85,83,3.07,100
vila franca do campo,37.72,20,88,3.1,40
sechura,-5.56,16.35,88,3.29,13
fort nelson,58.81,2,93,3.6,90
padang,-0.92,27.45,83,6.55,20
tijara,27.94,30,7,2.5,2
doha,25.29,35.99,50,6.7,0
dwarka,28.58,29.36,89,2.6,75
honningsvag,70.98,14.05,74,5.96,78
morada nova,-5.1,33.15,34,4.26,13
yuli,24.82,22.85,96,1.35,87
beroroha,-21.68,23.55,21,1.3,0
porto walter,-8.27,32.15,39,1.68,0
voi,-3.4,22.95,58,7.6,94
mount gambier,-37.83,5,86,3.6,67
chimbote,-9.08,15.15,90,4.56,91
mitu,36.2,33.05,13,4.72,90
trairi,-3.28,33.35,32,5.17,50
santona,43.44,18.63,93,3.6,90
karratha,-20.74,17.65,24,7.78,0
lugovoy,59.72,17.15,63,2.29,100
sile,35.56,20.07,25,0.6,87
vaitape,-16.52,25.75,78,5.14,12
palmerston,-12.49,24.35,78,1.5,0
verkhnyaya inta,65.99,15.05,75,1.83,1
dubovskoye,47.41,25.15,64,8.39,97
agnibilekrou,7.13,28.75,61,2.79,54
conchagua,13.31,25,88,1.5,75
oyama,36.31,27.6,88,2.1,75
spalding,-33.5,2.78,98,0.89,0
tuatapere,-46.13,6.35,65,4.93,99
naze,5.43,29.15,66,3.74,29
komsomolskiy,67.55,12.05,73,1.54,64
waingapu,-9.65,19.35,79,1.66,0
amazar,53.86,9.75,93,0.69,52
sobolevo,54.43,17.75,86,1.94,98
coquimbo,-29.95,10,76,2.1,8
bainbridge,30.9,26.15,83,4.1,75
rio branco,-9.98,27,69,4.1,0
epe,52.18,17.23,87,1.5,75
eenhana,-17.48,32,10,3.6,0
tangjiazhuang,33.27,18.15,86,1.97,56
kuruman,-27.46,27.22,16,0.45,0
nenjiang,49.17,9.25,94,1.37,58
carman,49.51,11.54,71,2.6,1
ostersund,63.18,17.2,42,6.7,0
morro bay,35.37,14.19,93,2.1,90
sotnikovo,51.88,14,87,2,95
dingle,11,23.85,85,1.73,0
mecca,21.43,34.95,42,3.59,0
taoudenni,22.68,45.25,8,2.44,1
namibe,-15.19,18.15,90,5.03,28
labuhan,-2.54,23.45,87,0.92,81
chapais,49.78,15,100,1.5,90
shelburne,44.08,20.5,94,3.6,75
port hardy,50.7,14,93,1,90
kahului,20.89,21.93,73,2.1,1
nome,30.04,28.77,79,1.5,1
cap malheureux,-19.98,22.15,73,3.6,75
lingao,19.91,30.45,70,6.57,98
sasykoli,47.55,32.25,20,7.47,0
merauke,-8.49,25.45,81,9.36,41
naryan-mar,67.67,16.85,77,2.78,85
pitimbu,-7.47,26,78,5.7,75
richards bay,-28.77,20.65,77,13.34,0
chifeng,42.27,14.65,65,0.4,0
kidal,18.44,38.55,22,0.82,26
ambon,47.55,20,60,4.6,75
concordia,-31.4,11.06,81,7.2,40
uthal,25.81,29.25,66,6.38,0
hyeres,43.12,28.91,69,4.6,0
lethbridge,49.69,13.42,62,5.1,20
eucaliptus,-17.6,3,40,2.1,0
kiama,-34.67,15.84,51,9.8,35
la rioja,-29.41,12.15,34,3.31,0
praya,-8.71,24,78,4.1,75
haveli,33.47,31,66,2.1,40
luangwa,-15.62,25.15,14,4.78,0
havre-saint-pierre,50.23,18,68,3.1,1
anloga,5.79,30,66,6.2,40
ankang,32.73,22.65,87,2.34,0
valentin gomez farias,24.05,17.1,100,1.5,90
